5102,5346,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje dr. Vinka Gorenaka v zvezi  s pripravami Republike Slovenije na morebiten naslednji val migrantov na mejah Republike Slovenije.),13. redna seja,,,,,,,,,,,,,,,,
5103,5347,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi s postavitvijo žičnate ograje na meji s Hrvaško.),13. redna seja,,,,,,,,,,,,,,,,
5104,5348,Predlog sklepa (razprava o odgovoru  predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jožeta Tanka v zvezi z ukrepi pri reševanju begunsko-migrantske krize.),13. redna seja,,,,,,,,,,,,,,,,
5105,5349,Predlog sklepa (razprava o odgovoru  predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Alenke Bratušek v zvezi z ukrepi Vlade Republike Slovenije.),13. redna seja,,,,,,,,,,,,,,,,
5123,5367,Zakon o spremembah in dopolnitvah Zakona o romski skupnosti v Republiki Sloveniji - Evidenčni sklep MDT 24.11.2015,13. redna seja,,,,,,,,,,,,,,,,
5124,5368,Sklep o soglasju k Programu dela in finančnem načrtu Agencije za energijo za leto 2016 - Glasovanje,13. redna seja,,,,,,,,,,,,,,,,
5117,5361,Resolucija o nacionalnem stanovanjskem programu 2015 - 2025 - Amandma: K 4. poglavju 10.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 3),13. redna seja,,,,,,,,,,,,,,,,
5121,5365,Resolucija o nacionalnem stanovanjskem programu 2015 - 2025 - Amandma: K 4. poglavju 10.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 1),13. redna seja,,,,,,,,,,,,,,,,
5119,5363,Resolucija o nacionalnem stanovanjskem programu 2015 - 2025 - Amandma: K 4. poglavju 10.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 2),13. redna seja,,,,,,,,,,,,,,,,
6401,6645,Dnevni red v celoti,37. izredna seja,,,,,,,,,,,,,,,,
6399,6643,Dnevni red v celoti,38. izredna seja,,,,,,,,,,,,,,,,
5145,5389,Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 3. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 3),13. redna seja,,,,,,,,,,,,,,,,
5150,5394,Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 2. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 1),13. redna seja,,,,,,,,,,,,,,,,
5149,5393,Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 2. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 2),13. redna seja,,,,,,,,,,,,,,,,
5142,5386,Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 5. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 2),13. redna seja,,,,,,,,,,,,,,,,
5141,5385,Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 5. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 3),13. redna seja,,,,,,,,,,,,,,,,
5148,5392,Zakon o spremembah in dopolnitvah Zakona o ukrepih Republike Slovenije za krepitev stabilnosti bank - Amandma: K 3. členu 9.11.2015 [ZL - Poslanska skupina Združena levica] (pod točko 1),13. redna seja,,,,,,,,,,,,,,,,
5168,5412,Sklep o razrešitvi članice Nadzornega odbora Sklada za financiranje razgradnje Nuklearne elektrarne Krško in odlaganja radioaktivnih odpadkov iz Nuklearne elektrarne Krško - Glasovanje,13. redna seja,,,,,,,,,,,,,,,,
5170,5414,Predlog za izvolitev treh kandidatov za sodnico ali sodnika na Evropskem sodišču za človekove pravice v Strasbourgu - Glasovanje o sestavi komisije za tajno glasovanje,13. redna seja,,,,,,,,,,,,,,,,
5171,5415,|Zakon o ratifikaciji Sporazuma med Evropsko unijo in njenimi državami članicami na eni strani ter Islandijo na drugi strani glede sodelovanja Islandije pri skupnem izpolnjevanju obveznosti Evropske unije,njenih držav članic in Islandije za drugo ciljno obdobje Kjotskega protokola k Okvirni konvenciji Združenih narodov o spremembi podnebja - Glasovanje o zakonu v celoti|,13. redna seja,,,,,,,,,,,,,,,
5176,5420,Proceduralni predlog (na podlagi 5 odstavka 67. člena Poslovnika Državnega zbora ),13. redna seja,,,,,,,,,,,,,,,,
5217,5461,Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 6),13. redna seja,,,,,,,,,,,,,,,,
5215,5459,Proračun Republike Slovenije za leto 2017 - Amandma: 2550 Ministrstvo za okolje in prostor (150201) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 1),13. redna seja,,,,,,,,,,,,,,,,
5213,5457,Proračun Republike Slovenije za leto 2017 - Amandma: 2550 Ministrstvo za okolje in prostor (150201) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 2),13. redna seja,,,,,,,,,,,,,,,,
5219,5463,Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 5),13. redna seja,,,,,,,,,,,,,,,,
5225,5469,Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 2),13. redna seja,,,,,,,,,,,,,,,,
5223,5467,Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 3),13. redna seja,,,,,,,,,,,,,,,,
5221,5465,Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 4),13. redna seja,,,,,,,,,,,,,,,,
5294,5538,Proračun Republike Slovenije za leto 2016 - Amandma: 2550 Ministrstvo za okolje in prostor (150201) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Upravljanje z vodami pod številko 2),13. redna seja,,,,,,,,,,,,,,,,
5310,5554,Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 4),13. redna seja,,,,,,,,,,,,,,,,
5308,5552,Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 5),13. redna seja,,,,,,,,,,,,,,,,
5306,5550,Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 6),13. redna seja,,,,,,,,,,,,,,,,
5304,5548,Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke]  (pod točko 7),13. redna seja,,,,,,,,,,,,,,,,
5302,5546,Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 8),13. redna seja,,,,,,,,,,,,,,,,
5313,5557,Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo/130202  11.11.2015 [NP - Poslanska skupina nepovezanih poslancev] (pod točko 1),13. redna seja,,,,,,,,,,,,,,,,
5298,5542,Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo/130202  11.11.2015 [NP - Poslanska skupina nepovezanih poslancev] (pod točko 2),13. redna seja,,,,,,,,,,,,,,,,
5296,5540,Proračun Republike Slovenije za leto 2016 - Amandma: 2550 Ministrstvo za okolje in prostor (150201) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Upravljanje z vodami pod številko 1),13. redna seja,,,,,,,,,,,,,,,,
5332,5576,Odlok o načrtu ravnanja s stvarnim premoženjem države za Komisijo za preprečevanje korupcije za leto 2016 - Glasovanje o aktu v celoti,13. redna seja,,,,,,,,,,,,,,,,
5331,5575,Odlok o načrtu ravnanja s stvarnim premoženjem države za Komisijo za preprečevanje korupcije za leto 2017 - Glasovanje o aktu v celoti,13. redna seja,,,,,,,,,,,,,,,,
6403,6647,Dnevni red v celoti,39. izredna seja,,,,,,,,,,,,,,,,
6406,6650,Dnevni red v celoti,40. izredna seja,,,,,,,,,,,,,,,,
5367,5611,Dnevni red v celoti,13. redna seja,,,,,,,,,,,,,,,,
4828,5072,|Sklep o sestavi in imenovanju predsednika,podpredsednika,članov in namestnikov članov Preiskovalne komisije o ugotavljanju zlorab v slovenskem zdravstvenem  sistemu na področju prodaje in nakupa žilnih opornic - Glasovanje|,18. redna seja,,,,,,,,,,,,,,
5015,5259,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Jožefa Horvata v zvezi z zlorabo kupcev rabljenih avtomobilov z lažnimi podatki o prevoženih kilometrih.),15. redna seja,,,,,,,,,,,,,,,,
5371,5615,Resolucija o nacionalnem programu za enake možnosti žensk in moških 2015–2020 - Glasovanje,12. redna seja,,,,,,,,,,,,,,,,
5494,5738,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 8),9. izredna seja,,,,,,,,,,,,,,,,
5650,5894,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 5),10. redna seja,,,,,,,,,,,,,,,,
5359,5603,Zakon o spremembi Zakona o uveljavljanju pravic iz javnih sredstev - Amandma: K 2. členu 16.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 1),13. redna seja,,,,,,,,,,,,,,,,
5357,5601,Zakon o spremembi Zakona o uveljavljanju pravic iz javnih sredstev - Amandma: K 2. členu 16.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 2),13. redna seja,,,,,,,,,,,,,,,,
6410,6654,Predlog sklepa (razprava o odgovoru ministrice za zdravje Milojke Kolar Celarc na poslansko vprašanje Jelke Godec v zvezi s sklepom Ministrstva za zdravje.),25. redna seja,,,,,,,,,,,,,,,,
6408,6652,Predlog sklepa (razprava o odgovoru ministrice za zdravje Milojke Kolar Celarc na poslansko vprašanje Mihe Kordiša v zvezi s škodljivimi določbami Predloga zakona o lekarniški dejavnosti.),25. redna seja,,,,,,,,,,,,,,,,
5388,5632,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Mihe Kordiša v zvezi z minimalnim dohodkom.),12. redna seja,,,,,,,,,,,,,,,,
5389,5633,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja ter ministrice za kulturo mag. Julijane Bizjak Mlakar na poslansko vprašanje dr. Franca Trčka v zvezi z usodo umetniške zbirke Factor banke d.d.),12. redna seja,,,,,,,,,,,,,,,,
5390,5634,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Zvonka Laha v zvezi s spremembo Operativnega programa razvoja podeželja)|,12. redna seja,,,,,,,,,,,,,,,
5383,5627,|Priporočilo v zvezi s problematiko delovanja Družbe za upravljanje terjatev bank,d. d.,v povezavi z družbami in podjetji,katerih bančne terjatve so bile prenesene na Družbo za upravljanje terjatev bank,d. d. - Glasovanje|,12. redna seja,,,,,,,,,,,,
5385,5629,|Priporočilo v zvezi s problematiko delovanja Družbe za upravljanje terjatev bank,d. d.,v povezavi z družbami in podjetji,katerih bančne terjatve so bile prenesene na Družbo za upravljanje terjatev bank,d. d. - Amandma: K predlogu priporočila 16.10.2015 [ZL - Poslanska skupina Združena levica]|,12. redna seja,,,,,,,,,,,,
5391,5635,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi s pripravo celovite reforme pravosodnega sistema v Republiki Sloveniji),12. redna seja,,,,,,,,,,,,,,,,
5392,5636,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Franca Breznika v zvezi z rezervnimi skladi večstanovanjskih stavb),12. redna seja,,,,,,,,,,,,,,,,
5393,5637,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška ter ministrice za okolje in prostor Irene Majcen na poslansko vprašanje dr. Franca Trčka v zvezi z reaktivacijo in revitalizacijo Pohorja),12. redna seja,,,,,,,,,,,,,,,,
5394,5638,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen ter ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Matjaža Hanžka v zvezi s sanacijo Celjske kotline),12. redna seja,,,,,,,,,,,,,,,,
5395,5639,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Ljuba Žnidarja v zvezi z ustanovitvijo državnega gozdarskega podjetja)|,12. redna seja,,,,,,,,,,,,,,,
5396,5640,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Ljudmile Novak v zvezi s pediatrično oskrbo.),12. redna seja,,,,,,,,,,,,,,,,
5397,5641,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Luke Mesca v zvezi z Družbo za upravljanje terjatev bank (DUTB)),12. redna seja,,,,,,,,,,,,,,,,
5398,5642,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Bojana Podkrajška v zvezi s spremembami Programa razvoja podeželja Republike Slovenije 2014 - 2020.)|,12. redna seja,,,,,,,,,,,,,,,
5399,5643,Predlog sklepa (razpravao odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Violete Tomić v zvezi z zakonsko ureditvijo področja dimnikarskih storitev.),12. redna seja,,,,,,,,,,,,,,,,
5400,5644,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje mag. Anžeta Logarja v zvezi s sodelovanjem sodne veje oblasti z zakonodajno vejo oblasti pri preiskovanju bančne luknje.),12. redna seja,,,,,,,,,,,,,,,,
5401,5645,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jožeta Tanka v zvezi z imenovanjem generalnega direktorja Univerzitetnega kliničnega centra Ljubljana.),12. redna seja,,,,,,,,,,,,,,,,
5402,5646,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Bojana Dobovška v zvezi s sistemsko korupcijo.),12. redna seja,,,,,,,,,,,,,,,,
5403,5647,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jerneja Vrtovca v zvezi z razrešitvijo članov uprave Družbe za upravljanje terjatev bank (DUTB)),12. redna seja,,,,,,,,,,,,,,,,
4547,4791,Sklep o pravici prevzema mandata poslanke Državnega zbora in Sklep o pravici nadomeščanja poslanca Državnega zbora - Glasovanje o sklepu - Vlasta Počkaj,22. redna seja,,,,,,,,,,,,,,,,
4950,5194,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja ter ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje dr. Franca Trčka v zvezi z razrešitvijo predsednika in člana uprave DARS in odgovornostjo Nadzornega sveta DARS.),16. redna seja,,,,,,,,,,,,,,,,
4304,4548,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Andreja Čuša v zvezi z zaposlovanjem in ukinjanjem revščine. )|,24. redna seja,,,,,,,,,,,,,,
5419,5663,Zakon o spremembah Zakona o razvojni podpori Pomurski regiji v obdobju 2010-2015 - Amandma: K 2. členu 13.10.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (prvi amandma),12. redna seja,,,,,,,,,,,,,,,,
5417,5661,Zakon o spremembah Zakona o razvojni podpori Pomurski regiji v obdobju 2010-2015 - Amandma: K 2. členu 13.10.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (drugi amandma),12. redna seja,,,,,,,,,,,,,,,,
5415,5659,Zakon o spremembah Zakona o razvojni podpori Pomurski regiji v obdobju 2010-2015 - Amandma: K 2. členu 13.10.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (tretji amandma),12. redna seja,,,,,,,,,,,,,,,,
5466,5710,Dnevni red v celoti,12. redna seja,,,,,,,,,,,,,,,,
5475,5719,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 3331 Urad Republike Slovenije za mladino (190104) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],9. izredna seja,,,,,,,,,,,,,,,,
5472,5716,Rebalans proračuna Republike Slovenije za leto 2015 - Vloženi uskladitveni amandmaji: k splošnem delu 20.2.2015 [V - Vlada],9. izredna seja,,,,,,,,,,,,,,,,
5477,5721,|Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 3330 Ministrstvo za izobraževanje,znanost in šport (190301)  12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek]|,9. izredna seja,,,,,,,,,,,,,,,
5481,5725,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2711 Ministrstvo za zdravje (170301) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],9. izredna seja,,,,,,,,,,,,,,,,
5482,5726,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2613 Inšpektorat RS za delo (100101) 16.2.2015 [ZL - Poslanska skupina Združena levica],9. izredna seja,,,,,,,,,,,,,,,,
5483,5727,|Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2611 Ministrstvo za delo,družino in socialne zadeve in enake možnosti  (200202) 16.2.2015 [ZL - Poslanska skupina Združena levica]|,9. izredna seja,,,,,,,,,,,,,,,
4887,5131,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Ive Dimic v zvezi s postopki pridobivanja enotnega dovoljenja za prebivanje in delo.)|,17. redna seja,,,,,,,,,,,,,,
4795,5039,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Maje Makovec Brenčič na poslansko vprašanje Mihe Kordiša v zvezi z Uredbo o spremembah in dopolnitvah Uredbe o javnem financiranju visokošolskih zavodov in drugih zavodov.)|,19. redna seja,,,,,,,,,,,,,,,
5654,5898,Zakon o spremembah in dopolnitvah Zakona o gospodarskih družbah - Amandma: K 2. členu 3.7.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 1),10. redna seja,,,,,,,,,,,,,,,,
6414,6658,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje dr. Vinka Gorenaka v zvezi s pripravami Republike Slovenije na morebiten nov migrantski val.),25. redna seja,,,,,,,,,,,,,,,,
5503,5747,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2130 Ministrstvo za gospodarski razvoj in tehnologijo (140502) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],9. izredna seja,,,,,,,,,,,,,,,,
5507,5751,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2130 Ministrstvo za gospodarski razvoj in tehnologijo (060301) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],9. izredna seja,,,,,,,,,,,,,,,,
5508,5752,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2130 Ministrstvo za gospodarski razvoj in tehnologijo (060301) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek],9. izredna seja,,,,,,,,,,,,,,,,
5511,5755,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 1714 Policija (080201) 16.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek],9. izredna seja,,,,,,,,,,,,,,,,
5512,5756,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 1714 Policija (080201) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],9. izredna seja,,,,,,,,,,,,,,,,
5513,5757,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 1540 Urad Vlade RS za narodnosti (180402) 6.2.2015 [SMC - Poslanska skupina Stranke Mira Cerarja],9. izredna seja,,,,,,,,,,,,,,,,
5496,5740,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 6),9. izredna seja,,,,,,,,,,,,,,,,
5495,5739,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 7),9. izredna seja,,,,,,,,,,,,,,,,
5493,5737,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 9),9. izredna seja,,,,,,,,,,,,,,,,
5492,5736,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 10),9. izredna seja,,,,,,,,,,,,,,,,
5491,5735,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 11),9. izredna seja,,,,,,,,,,,,,,,,
5490,5734,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 12),9. izredna seja,,,,,,,,,,,,,,,,
5489,5733,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 16.2.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 13),9. izredna seja,,,,,,,,,,,,,,,,
5501,5745,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek] (pod številko 1),9. izredna seja,,,,,,,,,,,,,,,,
5500,5744,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek] (pod številko 2),9. izredna seja,,,,,,,,,,,,,,,,
5499,5743,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek] (pod številko 3),9. izredna seja,,,,,,,,,,,,,,,,
5498,5742,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo  (130202) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek] (pod številko 4),9. izredna seja,,,,,,,,,,,,,,,,
5497,5741,Rebalans proračuna Republike Slovenije za leto 2015 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo  (130202) 12.2.2015 [ZaAB - Poslanska skupina Zavezništvo Alenke Bratušek] (pod številko 5),9. izredna seja,,,,,,,,,,,,,,,,
5527,5771,Dnevni red v celoti,9. izredna seja,,,,,,,,,,,,,,,,
5545,5789,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Marijana Pojbiča v zvezi s prodajo državnega premoženja),11. redna seja,,,,,,,,,,,,,,,,
5547,5791,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Zvonka Laha v zvezi z Zakonom o državnem podjetju  za upravljanje z gozdovi v državni lasti.)|,11. redna seja,,,,,,,,,,,,,,,
5548,5792,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Jožefa Horvata v zvezi s pripravo reforme trga dela in pokojninske reforme.)|,11. redna seja,,,,,,,,,,,,,,
5581,5825,Dnevni red v celoti,11. redna seja,,,,,,,,,,,,,,,,
5583,5827,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi z razpisi sodnih obravnav v času sodnih počitnic),10. redna seja,,,,,,,,,,,,,,,,
5549,5793,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Ljuba Žnidarja v zvezi z izgradnjo drugega tira Koper - Divača),11. redna seja,,,,,,,,,,,,,,,,
5551,5795,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Ljudmile Novak v zvezi s problematiko prenove železniške proge Ljubljana - Kočevje.),11. redna seja,,,,,,,,,,,,,,,,
5552,5796,Predlog sklepa (razprava o odgovoru ministra za zunanje zadeve Karla Viktorja Erjavca na poslansko vprašanje Matjaža Hanžka v zvezi z begunsko krizo),11. redna seja,,,,,,,,,,,,,,,,
5553,5797,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Ive Dimic v zvezi z ustanovitvijo podjetja Slovenski državni gozdovi),11. redna seja,,,,,,,,,,,,,,,,
5554,5798,Predlog sklepa (razprava o o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi s predlogoma proračunov za leti 2016 in 2017.),11. redna seja,,,,,,,,,,,,,,,,
5562,5806,|Sklep o spremembah Sklepa o sestavi in imenovanju predsednika,podpredsednika,članov in namestnikov članov Preiskovalne komisije o ugotavljanju zlorab v slovenskem bančnem sistemu ter ugotavljanju vzrokov in odgovornosti za že drugo sanacijo bančnega sistema v samostojni Sloveniji - Glasovanje|,11. redna seja,,,,,,,,,,,,,,
5563,5807,|Sklep o spremembah Sklepa o sestavi in imenovanju predsednika,podpredsednika,članov in namestnikov članov Preiskovalne komisije za ugotavljanje politične odgovornosti nosilcev javnih funkcij pri investiciji v blok 6 Termoelektrarne Šoštanj - Glasovanje|,11. redna seja,,,,,,,,,,,,,,
