4664,4908,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Anžeta Logarja v zvezi z odkrivanjem in pregonom bančne kriminalitete.),21. redna seja,,,,,,,,,,,,,,,,
4665,4909,|Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Alenke Bratušek v zvezi z dogajanjem v Luki Koper,d. d.)|,21. redna seja,,,,,,,,,,,,,,,
6301,6545,Dnevni red v celoti,23. izredna seja,,,,,,,,,,,,,,,,
4691,4935,Dnevni red v celoti,21. redna seja,,,,,,,,,,,,,,,,
4692,4936,Širitev dnevnega reda,21. redna seja,,,,,,,,,,,,,,,,
4695,4939,Sklep o imenovanju članov Sveta za elektronske komunikacije Republike Slovenije - Glasovanje,20. redna seja,,,,,,,,,,,,,,,,
4700,4944,Proceduralni predlog za prestavitev točke (Uradno prečiščeno besedilo Pomorskega zakonika),20. redna seja,,,,,,,,,,,,,,,,
4699,4943,Uradno prečiščeno besedilo (Pomorskega zakonika),20. redna seja,,,,,,,,,,,,,,,,
4701,4945,|Zakon o ratifikaciji Konvencije med Vlado Republike Slovenije in Vlado Republike Kazahstan o izogibanju dvojnega obdavčevanja in preprečevanju davčnih utaj v zvezi z davki od dohodka in premoženja,s protokolom - Glasovanje o zakonu v celoti|,20. redna seja,,,,,,,,,,,,,,,
6272,6516,Navzočnost,36. izredna seja,,,,,,,,,,,,,,,,
4694,4938,Sklep o razrešitvi podpredsednika in imenovanju podpredsednice Odbora za zunanjo politiko - Glasovanje,20. redna seja,,,,,,,,,,,,,,,,
5905,6149,|Predlog sklepa razprava o odgovoru ministrice za okolje in prostor Irene Majcen,ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška ter ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje dr. Franca Trčka v zvezi s hidravličnim drobljenjem v Petišovcih.|,5. redna seja,,,,,,,,,,,,,,
4711,4955,Sklep o izbiri revizorske družbe za revidiranje  računovodskih izkazov Računskega sodišča Republike Slovenije za leto 2015 - Glasovanje,20. redna seja,,,,,,,,,,,,,,,,
4712,4956,|Priporočilo v zvezi s problematiko poenostavljene pripojitve Probanke d.d. in Factor Banke d.d. k DUTB d.d.,zaradi česar naj bi nastala potreba po njeni dokapitalizaciji - Glasovanje|,20. redna seja,,,,,,,,,,,,,,,
4723,4967,Predlog za imenovanje druge namestnice predsednika Računskega sodišča - Glasovanje o sestavi komisije za tajno glasovanje,20. redna seja,,,,,,,,,,,,,,,,
4729,4973,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Anžeta Logarja v zvezi s kadrovsko politiko SDH.),20. redna seja,,,,,,,,,,,,,,,,
4725,4969,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Luke Mesca v zvezi z deregulacijo cen naftnih derivatov.),20. redna seja,,,,,,,,,,,,,,,,
4726,4970,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi s preiskovanjem sumov kaznivih dejanj bančne kriminalitete.),20. redna seja,,,,,,,,,,,,,,,,
4727,4971,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Andreja Širclja v zvezi s predlogom davčnih sprememb.),20. redna seja,,,,,,,,,,,,,,,,
4728,4972,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje mag. Marka Pogačnika v zvezi s počasnim reševanjem gospodarskih sporov.),20. redna seja,,,,,,,,,,,,,,,,
