5219,5463,"Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 5)","13. redna seja",x,x,x
5225,5469,"Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 2)","13. redna seja",x,x,x
5223,5467,"Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 3)","13. redna seja",x,x,x
5221,5465,"Proračun Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Investicijsko vzdrževanje in gradnja državnih cest pod točko 4)","13. redna seja",x,x,x
5294,5538,"Proračun Republike Slovenije za leto 2016 - Amandma: 2550 Ministrstvo za okolje in prostor (150201) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Upravljanje z vodami pod številko 2)","13. redna seja",x,x,x
5310,5554,"Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 4)","13. redna seja",x,x,x
5308,5552,"Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 5)","13. redna seja",x,x,x
5306,5550,"Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 6)","13. redna seja",x,x,x
5304,5548,"Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke]  (pod točko 7)","13. redna seja",x,x,x
5302,5546,"Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod točko 8)","13. redna seja",x,x,x
5313,5557,"Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo/130202  11.11.2015 [NP - Poslanska skupina nepovezanih poslancev] (pod točko 1)","13. redna seja",x,x,x
5298,5542,"Proračun Republike Slovenije za leto 2016 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo/130202  11.11.2015 [NP - Poslanska skupina nepovezanih poslancev] (pod točko 2)","13. redna seja",x,x,x
5296,5540,"Proračun Republike Slovenije za leto 2016 - Amandma: 2550 Ministrstvo za okolje in prostor (150201) 11.11.2015 [SDS - Poslanska skupina Slovenske demokratske stranke] (k podprogramu Upravljanje z vodami pod številko 1)","13. redna seja",x,x,x
5332,5576,"Odlok o načrtu ravnanja s stvarnim premoženjem države za Komisijo za preprečevanje korupcije za leto 2016 - Glasovanje o aktu v celoti","13. redna seja",x,x,x
